DateTime,Temperature (C),Temperature (F),Condition,Humidity,Wind (kph),Pressure (mb)
2025-04-08 00:00,28.0,82.4,Partly Cloudy ,81,13.0,1010.0
2025-04-08 01:00,27.7,81.9,Partly Cloudy ,82,10.4,1009.0
2025-04-08 02:00,27.7,81.8,Partly Cloudy ,80,5.4,1009.0
2025-04-08 03:00,27.5,81.5,Patchy rain nearby,81,4.3,1009.0
2025-04-08 04:00,27.3,81.2,Patchy rain nearby,82,4.3,1010.0
2025-04-08 05:00,27.3,81.1,Patchy rain nearby,82,6.8,1010.0
2025-04-08 06:00,27.7,81.8,Patchy rain nearby,80,6.5,1011.0
2025-04-08 07:00,28.6,83.5,Patchy rain nearby,74,8.3,1012.0
2025-04-08 08:00,29.4,85.0,Sunny,72,10.1,1012.0
2025-04-08 09:00,30.4,86.7,Sunny,65,13.0,1012.0
2025-04-08 10:00,30.9,87.7,Sunny,61,16.9,1012.0
2025-04-08 11:00,31.1,87.9,Sunny,59,17.3,1011.0
2025-04-08 12:00,31.2,88.2,Sunny,59,18.7,1010.0
2025-04-08 13:00,31.1,88.0,Sunny,60,21.2,1009.0
2025-04-08 14:00,30.9,87.6,Sunny,62,21.6,1008.0
2025-04-08 15:00,30.7,87.2,Sunny,64,21.6,1008.0
2025-04-08 16:00,30.4,86.7,Sunny,66,22.3,1008.0
2025-04-08 17:00,29.8,85.7,Sunny,69,22.0,1009.0
2025-04-08 18:00,29.2,84.5,Clear ,74,20.2,1010.0
2025-04-08 19:00,30.4,86.7,Partly cloudy,75,17.3,1010.0
2025-04-08 20:00,28.7,83.7,Clear ,75,14.0,1011.0
2025-04-08 21:00,28.6,83.5,Clear ,75,13.3,1012.0
2025-04-08 22:00,28.4,83.1,Clear ,75,13.7,1012.0
2025-04-08 23:00,28.2,82.8,Clear ,74,13.0,1011.0
