DateTime,Temperature (C),Temperature (F),Condition,Humidity,Wind (kph),Pressure (mb)
2025-04-08 00:00,27.0,80.5,Partly Cloudy ,82,5.4,1010.0
2025-04-08 01:00,26.8,80.2,Partly Cloudy ,83,6.1,1010.0
2025-04-08 02:00,26.5,79.7,Partly Cloudy ,83,5.8,1009.0
2025-04-08 03:00,26.2,79.2,Partly Cloudy ,84,6.1,1009.0
2025-04-08 04:00,26.1,78.9,Partly Cloudy ,85,6.5,1010.0
2025-04-08 05:00,25.9,78.6,Partly Cloudy ,86,5.4,1010.0
2025-04-08 06:00,26.1,79.0,Patchy rain nearby,85,6.5,1011.0
2025-04-08 07:00,27.9,82.3,Patchy rain nearby,77,6.8,1012.0
2025-04-08 08:00,30.0,86.0,Partly Cloudy ,66,6.5,1012.0
2025-04-08 09:00,31.8,89.3,Sunny,56,8.6,1012.0
2025-04-08 10:00,33.9,93.0,Sunny,46,10.8,1011.0
2025-04-08 11:00,36.0,96.8,Sunny,36,13.3,1010.0
2025-04-08 12:00,37.6,99.6,Sunny,29,16.6,1009.0
2025-04-08 13:00,38.2,100.8,Sunny,26,22.0,1007.0
2025-04-08 14:00,38.0,100.3,Sunny,25,24.8,1007.0
2025-04-08 15:00,37.1,98.8,Sunny,26,25.2,1006.0
2025-04-08 16:00,35.5,95.9,Sunny,31,25.6,1007.0
2025-04-08 17:00,33.0,91.4,Sunny,41,25.6,1007.0
2025-04-08 18:00,30.0,85.9,Clear ,56,22.3,1008.0
2025-04-08 19:00,28.6,83.5,Clear ,67,19.4,1010.0
2025-04-08 20:00,28.2,82.7,Clear ,72,16.9,1011.0
2025-04-08 21:00,28.0,82.4,Clear ,74,12.6,1012.0
2025-04-08 22:00,27.8,82.0,Partly Cloudy ,76,9.0,1012.0
2025-04-08 23:00,27.4,81.4,Partly Cloudy ,79,6.5,1012.0
