DateTime,Temperature (C),Temperature (F),Condition,Humidity,Wind (kph),Pressure (mb)
2025-04-08 00:00,27.2,80.9,Partly Cloudy ,82,6.1,1010.0
2025-04-08 01:00,26.9,80.4,Partly Cloudy ,83,5.8,1009.0
2025-04-08 02:00,26.8,80.2,Partly Cloudy ,82,6.1,1009.0
2025-04-08 03:00,26.6,80.0,Patchy rain nearby,83,6.1,1009.0
2025-04-08 04:00,26.5,79.7,Patchy rain nearby,83,5.8,1009.0
2025-04-08 05:00,26.3,79.3,Patchy rain nearby,84,6.1,1010.0
2025-04-08 06:00,26.5,79.7,Patchy rain nearby,83,6.5,1011.0
2025-04-08 07:00,28.5,83.3,Patchy rain nearby,74,6.8,1011.0
2025-04-08 08:00,30.3,86.6,Partly Cloudy ,66,6.8,1012.0
2025-04-08 09:00,32.1,89.7,Sunny,56,10.1,1012.0
2025-04-08 10:00,33.8,92.9,Sunny,47,13.3,1011.0
2025-04-08 11:00,35.1,95.2,Sunny,41,17.3,1010.0
2025-04-08 12:00,35.6,96.0,Sunny,38,21.2,1009.0
2025-04-08 13:00,35.4,95.8,Sunny,38,23.4,1008.0
2025-04-08 14:00,35.0,95.0,Sunny,38,23.0,1007.0
2025-04-08 15:00,34.1,93.5,Sunny,41,22.3,1007.0
2025-04-08 16:00,32.7,90.9,Sunny,47,22.3,1007.0
2025-04-08 17:00,30.8,87.4,Sunny,56,22.3,1008.0
2025-04-08 18:00,28.9,84.1,Clear ,68,19.4,1009.0
2025-04-08 19:00,28.3,83.0,Clear ,73,19.1,1010.0
2025-04-08 20:00,28.3,83.0,Clear ,74,19.8,1011.0
2025-04-08 21:00,28.2,82.8,Clear ,76,18.0,1011.0
2025-04-08 22:00,28.0,82.5,Partly Cloudy ,78,13.0,1012.0
2025-04-08 23:00,27.6,81.6,Partly Cloudy ,79,7.9,1011.0
