DateTime,Temperature (C),Temperature (F),Condition,Humidity,Wind (kph),Pressure (mb)
2025-04-08 00:00,26.9,80.5,Clear ,80,6.1,1010.0
2025-04-08 01:00,26.6,80.0,Partly Cloudy ,81,6.8,1010.0
2025-04-08 02:00,26.4,79.5,Partly Cloudy ,82,6.5,1009.0
2025-04-08 03:00,26.0,78.8,Partly Cloudy ,83,5.8,1009.0
2025-04-08 04:00,25.8,78.4,Partly Cloudy ,85,5.8,1010.0
2025-04-08 05:00,25.6,78.0,Partly Cloudy ,86,4.7,1010.0
2025-04-08 06:00,25.8,78.4,Partly Cloudy ,85,5.4,1011.0
2025-04-08 07:00,27.6,81.6,Patchy rain nearby,78,6.8,1012.0
2025-04-08 08:00,29.7,85.5,Partly Cloudy ,68,6.8,1012.0
2025-04-08 09:00,31.6,88.9,Sunny,57,7.9,1012.0
2025-04-08 10:00,33.6,92.5,Sunny,47,10.1,1011.0
2025-04-08 11:00,35.8,96.4,Sunny,37,12.6,1010.0
2025-04-08 12:00,37.5,99.4,Sunny,30,14.0,1009.0
2025-04-08 13:00,38.6,101.6,Sunny,26,15.8,1007.0
2025-04-08 14:00,39.2,102.5,Sunny,23,20.2,1006.0
2025-04-08 15:00,38.8,101.8,Sunny,22,24.1,1006.0
2025-04-08 16:00,37.5,99.6,Sunny,24,26.3,1006.0
2025-04-08 17:00,35.1,95.1,Sunny,32,27.4,1007.0
2025-04-08 18:00,31.3,88.3,Clear ,45,25.6,1008.0
2025-04-08 19:00,29.1,84.4,Clear ,59,20.9,1009.0
2025-04-08 20:00,28.2,82.8,Clear ,67,15.5,1011.0
2025-04-08 21:00,32.1,89.8,Mist,71,10.8,1010.0
2025-04-08 22:00,27.5,81.5,Clear ,74,9.7,1012.0
2025-04-08 23:00,27.2,81.0,Partly Cloudy ,76,6.8,1012.0
