DateTime,Temperature (C),Temperature (F),Condition,Humidity,Wind (kph),Pressure (mb)
2024-04-07,2024-04-07 00:00,25.8,78.4,Clear,78,9.0,1008.0
2024-04-07,2024-04-07 01:00,25.6,78.1,Clear,79,7.6,1007.0
2024-04-07,2024-04-07 02:00,25.6,78.1,Clear,79,6.8,1007.0
2024-04-07,2024-04-07 03:00,25.6,78.0,Clear,79,7.6,1007.0
2024-04-07,2024-04-07 04:00,25.5,78.0,Clear,80,7.2,1008.0
2024-04-07,2024-04-07 05:00,25.5,77.9,Partly cloudy,81,6.1,1008.0
2024-04-07,2024-04-07 06:00,26.0,78.8,Clear,80,6.5,1009.0
2024-04-07,2024-04-07 07:00,28.8,83.9,Sunny,71,10.1,1010.0
2024-04-07,2024-04-07 08:00,31.2,88.2,Patchy rain possible,59,13.7,1010.0
2024-04-07,2024-04-07 09:00,33.5,92.2,Sunny,47,9.9,1010.0
2024-04-07,2024-04-07 10:00,35.4,95.6,Sunny,38,9.1,1009.0
2024-04-07,2024-04-07 11:00,36.9,98.5,Sunny,31,8.1,1008.0
2024-04-07,2024-04-07 12:00,38.4,101.1,Sunny,26,11.9,1006.0
2024-04-07,2024-04-07 13:00,39.7,103.5,Sunny,22,12.2,1005.0
2024-04-07,2024-04-07 14:00,40.5,104.8,Sunny,21,14.8,1004.0
2024-04-07,2024-04-07 15:00,40.2,104.4,Sunny,22,16.6,1003.0
2024-04-07,2024-04-07 16:00,37.8,100.0,Sunny,31,21.4,1003.0
2024-04-07,2024-04-07 17:00,34.4,93.9,Sunny,43,22.8,1004.0
2024-04-07,2024-04-07 18:00,32.9,91.2,Sunny,56,19.6,1005.0
2024-04-07,2024-04-07 19:00,31.2,88.1,Clear,65,20.2,1006.0
2024-04-07,2024-04-07 20:00,29.5,85.0,Clear,68,14.9,1007.0
2024-04-07,2024-04-07 21:00,29.2,84.6,Clear,70,18.4,1008.0
2024-04-07,2024-04-07 22:00,29.1,84.3,Clear,70,15.8,1008.0
2024-04-07,2024-04-07 23:00,27.6,81.7,Clear,71,13.0,1008.0
