DateTime,Temperature (C),Temperature (F),Condition,Humidity,Wind (kph),Pressure (mb)
2025-04-09 00:00,26.3,79.3,Clear ,79,5.4,1011.0
2025-04-09 01:00,26.0,78.8,Clear ,81,5.4,1010.0
2025-04-09 02:00,25.6,78.1,Partly Cloudy ,81,6.5,1010.0
2025-04-09 03:00,25.3,77.6,Partly Cloudy ,83,6.5,1009.0
2025-04-09 04:00,25.1,77.2,Partly Cloudy ,84,7.2,1010.0
2025-04-09 05:00,24.9,76.8,Patchy rain nearby,85,7.2,1010.0
2025-04-09 06:00,25.1,77.2,Partly Cloudy ,84,6.1,1011.0
2025-04-09 07:00,27.2,80.9,Sunny,74,7.6,1012.0
2025-04-09 08:00,29.2,84.6,Sunny,63,9.7,1012.0
2025-04-09 09:00,31.3,88.3,Sunny,53,11.2,1012.0
2025-04-09 10:00,34.3,93.7,Partly cloudy,63,10.4,1011.0
2025-04-09 11:00,35.0,95.1,Sunny,37,10.8,1010.0
2025-04-09 12:00,36.7,98.0,Sunny,31,11.5,1008.0
2025-04-09 13:00,37.9,100.2,Sunny,27,13.0,1007.0
2025-04-09 14:00,38.8,101.9,Partly Cloudy ,25,14.8,1005.0
2025-04-09 15:00,39.1,102.4,Sunny,23,16.2,1004.0
2025-04-09 16:00,37.9,100.3,Partly Cloudy ,27,18.7,1004.0
2025-04-09 17:00,34.7,94.4,Sunny,40,24.5,1005.0
2025-04-09 18:00,31.2,88.2,Clear ,54,23.4,1007.0
2025-04-09 19:00,29.5,85.1,Clear ,63,20.2,1008.0
2025-04-09 20:00,28.9,84.0,Clear ,67,16.2,1009.0
2025-04-09 21:00,28.6,83.5,Clear ,68,10.4,1010.0
2025-04-09 22:00,28.3,82.9,Clear ,69,6.8,1011.0
2025-04-09 23:00,28.0,82.4,Clear ,70,5.0,1010.0
